import time: self [us] | cumulative | imported package
import time:       102 |        102 | winreg
import time:       295 |        295 |   _io
import time:        57 |         57 |   marshal
import time:       696 |        696 |   nt
import time:      1123 |       2169 | _frozen_importlib_external
import time:       605 |        605 |   time
import time:       335 |        939 | zipimport
import time:        74 |         74 |     _codecs
import time:       638 |        711 |   codecs
import time:      1597 |       1597 |   encodings.aliases
import time:      2018 |       4325 | encodings
import time:       697 |        697 | encodings.utf_8
import time:       578 |        578 | encodings.cp1252
import time:        61 |         61 | _signal
import time:        43 |         43 |     _abc
import time:       233 |        276 |   abc
import time:       202 |        477 | io
import time:        61 |         61 |       _stat
import time:       112 |        172 |     stat
import time:       968 |        968 |     _collections_abc
import time:       288 |        288 |       genericpath
import time:       227 |        227 |       _winapi
import time:       387 |        901 |     ntpath
import time:      1288 |       3327 |   os
import time:       282 |        282 |   _sitebuiltins
import time:       359 |        359 |   errno
import time:       774 |        774 |   encodings.utf_8_sig
import time:      1816 |       1816 |   _distutils_hack
import time:       320 |        320 |   sitecustomize
import time:       310 |        310 |   usercustomize
import time:      2071 |       9256 | site
import time:      1736 |       1736 | linecache
import time:       615 |        615 |   app
import time:       930 |        930 |   __future__
import time:       159 |        159 |           itertools
import time:      1563 |       1563 |           keyword
import time:       195 |        195 |             _operator
import time:      2163 |       2358 |           operator
import time:      1322 |       1322 |           reprlib
import time:       105 |        105 |           _collections
import time:      1529 |       7034 |         collections
import time:        73 |         73 |         _functools
import time:      1592 |       8698 |       functools
import time:      1245 |       1245 |           types
import time:      1510 |       2755 |         contextlib
import time:      2581 |       2581 |           enum
import time:       103 |        103 |             _sre
import time:       750 |        750 |               re._constants
import time:       836 |       1585 |             re._parser
import time:       504 |        504 |             re._casefix
import time:      1132 |       3323 |           re._compiler
import time:       723 |        723 |           copyreg
import time:      1520 |       8145 |         re
import time:       392 |        392 |             posix
import time:       204 |        204 |             posix
import time:       334 |        929 |           posixpath
import time:       749 |       1678 |         fnmatch
import time:      1257 |      13834 |       glob
import time:      1370 |      23901 |     pathlib._abc
import time:       822 |        822 |       warnings
import time:       274 |        274 |       pwd
import time:       197 |        197 |       grp
import time:      1087 |       2378 |     pathlib._local
import time:       740 |      27019 |   pathlib
import time:        64 |         64 |     _typing
import time:      3714 |       3778 |   typing
import time:       892 |        892 |     PIL._version
import time:      1014 |       1906 |   PIL
import time:        61 |         61 |     atexit
import time:      1648 |       1648 |         textwrap
import time:       723 |        723 |         _colorize
import time:      2699 |       5069 |       traceback
import time:       648 |        648 |         _weakrefset
import time:       894 |       1542 |       weakref
import time:        52 |         52 |         _string
import time:      1005 |       1057 |       string
import time:      1508 |       1508 |       threading
import time:      2308 |      11483 |     logging
import time:       267 |        267 |     math
import time:       102 |        102 |       _struct
import time:       785 |        887 |     struct
import time:       102 |        102 |         zlib
import time:       912 |        912 |           _compression
import time:      2279 |       2279 |           _bz2
import time:       752 |       3941 |         bz2
import time:       974 |        974 |           _lzma
import time:       913 |       1886 |         lzma
import time:      1232 |       7160 |       shutil
import time:        56 |         56 |           _bisect
import time:       828 |        884 |         bisect
import time:        67 |         67 |         _random
import time:      1032 |       1981 |       random
import time:      1144 |      10284 |     tempfile
import time:      5216 |       5216 |     PIL.ExifTags
import time:       766 |        766 |       PIL._deprecate
import time:      2009 |       2775 |     PIL.ImageMode
import time:      1279 |       1279 |     PIL.TiffTags
import time:       624 |        624 |     PIL._binary
import time:      3286 |       3286 |         _socket
import time:      1075 |       4360 |       PIL._typing
import time:       981 |       5341 |     PIL._util
import time:       312 |        312 |     defusedxml
import time:      2950 |       2950 |     PIL._imaging
import time:      2586 |      44059 |   PIL.Image
import time:       866 |        866 |   PIL.ImageChops
import time:       766 |        766 |         importlib
import time:       922 |        922 |           importlib._abc
import time:       233 |       1155 |         importlib.util
import time:        77 |         77 |         importlib.machinery
import time:      1277 |       3273 |       pkgutil
import time:      1579 |       4852 |     PyQt6
import time:       852 |        852 |     PyQt6.sip
import time:     11574 |      17277 |   PyQt6.QtCore
import time:      8434 |       8434 |   PyQt6.QtGui
import time:      8454 |       8454 |   PyQt6.QtWidgets
import time:       745 |        745 |       numpy.version
import time:       489 |        489 |       numpy._expired_attrs_2_0
import time:       690 |        690 |           numpy._utils._convertions
import time:       710 |       1399 |         numpy._utils
import time:       838 |       2237 |       numpy._globals
import time:       101 |        101 |         numpy._distributor_init_local
import time:       628 |        729 |       numpy._distributor_init
import time:       153 |        153 |                   _datetime
import time:       651 |        803 |                 datetime
import time:      1022 |       1022 |                 numpy.exceptions
import time:      1074 |       1074 |                 numpy._core._exceptions
import time:        97 |         97 |                     _contextvars
import time:      1014 |       1110 |                   contextvars
import time:       971 |       2080 |                 numpy._core.printoptions
import time:       898 |        898 |                 numpy.dtypes
import time:      5578 |      11453 |               numpy._core._multiarray_umath
import time:       898 |        898 |                 numpy._utils._inspect
import time:       939 |       1837 |               numpy._core.overrides
import time:      1723 |      15011 |             numpy._core.multiarray
import time:       703 |        703 |             numpy._core.umath
import time:       826 |        826 |               numbers
import time:       587 |        587 |               numpy._core._dtype
import time:       661 |        661 |               numpy._core._string_helpers
import time:       845 |        845 |               numpy._core._type_aliases
import time:       914 |       3831 |             numpy._core.numerictypes
import time:       586 |        586 |               numpy._core._ufunc_config
import time:      1165 |       1165 |                     _compat_pickle
import time:       156 |        156 |                     _pickle
import time:      1653 |       2972 |                   pickle
import time:       730 |       3701 |                 numpy._core._methods
import time:      1657 |       5358 |               numpy._core.fromnumeric
import time:       764 |       6707 |             numpy._core._machar
import time:       861 |        861 |                 numpy._core.shape_base
import time:       636 |        636 |                 numpy._core._asarray
import time:      1171 |       1171 |                 numpy._core.arrayprint
import time:      1743 |       4410 |               numpy._core.numeric
import time:      1056 |       5465 |             numpy._core.einsumfunc
import time:      1252 |       1252 |             numpy._core.function_base
import time:      1026 |       1026 |             numpy._core.getlimits
import time:       749 |        749 |             numpy._core.memmap
import time:       832 |        832 |             numpy._core.records
import time:      1402 |       1402 |             numpy._core._add_newdocs
import time:       837 |        837 |             numpy._core._add_newdocs_scalars
import time:       546 |        546 |             numpy._core._dtype_ctypes
import time:       123 |        123 |                 _ast
import time:      2508 |       2630 |               ast
import time:      1786 |       1786 |                 _ctypes
import time:      1366 |       1366 |                 ctypes._endian
import time:      1667 |       4818 |               ctypes
import time:      1232 |       8680 |             numpy._core._internal
import time:       766 |        766 |             numpy._pytesttester
import time:      1390 |      49191 |           numpy._core
import time:        49 |      49239 |         numpy._core._multiarray_umath
import time:       870 |      50109 |       numpy.__config__
import time:      1036 |       1036 |                         numpy._typing._nbit_base
import time:       690 |        690 |                         numpy._typing._nested_sequence
import time:       523 |        523 |                         numpy._typing._shape
import time:      2662 |       4910 |                       numpy._typing._array_like
import time:      2241 |       2241 |                       numpy._typing._char_codes
import time:      2079 |       2079 |                       numpy._typing._dtype_like
import time:       511 |        511 |                       numpy._typing._nbit
import time:       498 |        498 |                       numpy._typing._scalars
import time:       567 |        567 |                       numpy._typing._ufunc
import time:      1240 |      12045 |                     numpy._typing
import time:      1142 |       1142 |                       numpy.lib._stride_tricks_impl
import time:      1020 |       2161 |                     numpy.lib._twodim_base_impl
import time:       596 |        596 |                       numpy.lib._array_utils_impl
import time:       728 |       1324 |                     numpy.lib.array_utils
import time:       821 |        821 |                     numpy.linalg._umath_linalg
import time:      2738 |      19087 |                   numpy.linalg._linalg
import time:       692 |        692 |                   numpy.linalg.linalg
import time:       610 |      20388 |                 numpy.linalg
import time:       918 |      21305 |               numpy.matrixlib.defmatrix
import time:       580 |      21884 |             numpy.matrixlib
import time:       913 |        913 |               numpy.lib._histograms_impl
import time:      1793 |       2706 |             numpy.lib._function_base_impl
import time:       645 |        645 |             numpy.lib.stride_tricks
import time:       880 |      26113 |           numpy.lib._index_tricks_impl
import time:      1010 |      27123 |         numpy.lib._arraypad_impl
import time:      1505 |       1505 |         numpy.lib._arraysetops_impl
import time:       601 |        601 |         numpy.lib._arrayterator_impl
import time:       811 |        811 |         numpy.lib._nanfunctions_impl
import time:      1784 |       1784 |                   _wmi
import time:      1790 |       3574 |                 platform
import time:       689 |       4262 |               numpy.lib._utils_impl
import time:       732 |       4994 |             numpy.lib._format_impl
import time:       714 |       5707 |           numpy.lib.format
import time:      1252 |       1252 |           numpy.lib._datasource
import time:      1354 |       1354 |           numpy.lib._iotools
import time:      1262 |       9574 |         numpy.lib._npyio_impl
import time:       832 |        832 |             numpy.lib._ufunclike_impl
import time:       957 |       1788 |           numpy.lib._type_check_impl
import time:      1239 |       3026 |         numpy.lib._polynomial_impl
import time:       997 |        997 |         numpy.lib._shape_base_impl
import time:       734 |        734 |         numpy.lib._version
import time:       728 |        728 |         numpy.lib.introspect
import time:       700 |        700 |         numpy.lib.mixins
import time:       589 |        589 |         numpy.lib.npyio
import time:       679 |        679 |           numpy.lib._scimath_impl
import time:       480 |       1159 |         numpy.lib.scimath
import time:      1195 |      48738 |       numpy.lib
import time:       626 |        626 |       numpy._array_api_info
import time:      3163 |     106833 |     numpy
import time:       644 |        644 |     PIL.ImageQt
import time:       928 |        928 |         copy
import time:        76 |         76 |               _opcode
import time:       629 |        629 |               _opcode_metadata
import time:       839 |       1543 |             opcode
import time:      1651 |       3194 |           dis
import time:       630 |        630 |             token
import time:        97 |         97 |             _tokenize
import time:      1558 |       2283 |           tokenize
import time:      3065 |       8540 |         inspect
import time:      1222 |      10690 |       dataclasses
import time:       713 |        713 |       app.blending
import time:      1423 |      12824 |     app.layer
import time:       596 |        596 |         PIL.ImageColor
import time:       842 |       1437 |       PIL.ImageDraw
import time:      1539 |       1539 |       PIL.ImageFilter
import time:       106 |        106 |           binascii
import time:      1167 |       1273 |         base64
import time:       685 |        685 |         PIL.features
import time:      4989 |       4989 |         PIL._imagingft
import time:      2020 |       8966 |       PIL.ImageFont
import time:      2068 |      14008 |     app.tools
import time:      1616 |     135924 |   app.canvas
import time:        83 |         83 |           _json
import time:      1098 |       1181 |         json.scanner
